ID    Exec Time,s

31     78 
40     22 
40     19 
469    54 
469    32 
469    32 
469    32 
27     67 
51     23 
26     24 
52     57 
91     54 
32     16 
39     37 
41     39 
41     36 
54     21 
54     19 
54     21 
54     30 
54     18 
54     18 
94     46 
229    40 
21     12 
44     15 
1147   53 
1147   52 
1251   141
1251   136
2521   39
2521   42
2529   53
2536   51
2536   51
2536   69
2536   48
2536   50
2537   39
40     21
40     20
97     50
469    40
469    33
469    32
469    34
469    31
28     18
482    36
34     54
55     56
231    16
39     37
41     53
47     44
54     16
54     16
54     34
54     17
54     18
98     60
287    50
24     13
45     15
1147   54
1147   54
1251   130
1251   137
2521   51
2521   41
2531   48
2536   45
2536   55
2536   46
2536   50
2536   45
2537   16
40     17
40     18
92     72
469    37
469    31
469    30
469    31
469    29
469    30
42     18
18     19
25     26
50     16
88     57
281    48
41     32
